code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,time_idx,month
US.AAPL,Apple,2025-01-02 00:00:00,248.93,243.85,249.1,241.8201,40.106,0.00369,55740731,13619150323.0,-2.623592364827088,250.42,0,1
US.AAPL,Apple,2025-01-03 00:00:00,243.36,243.36,244.18,241.89,40.026,0.00267,40244114,9782559498.0,-0.20094320278859165,243.85,1,1
US.AAPL,Apple,2025-01-06 00:00:00,244.31,245.0,247.33,243.2,40.296,0.00298,45045571,11043940312.0,0.6738987508218222,243.36,2,1
US.AAPL,Apple,2025-01-07 00:00:00,242.98,242.21,245.55,241.35,39.837,0.00271,40855960,9925788766.0,-1.1387755102040784,245.0,3,1
US.AAPL,Apple,2025-01-08 00:00:00,241.92,242.7,243.7123,240.05,39.917,0.00249,37628940,9117473594.0,0.20230378597084372,242.21,4,1
US.AAPL,Apple,2025-01-10 00:00:00,240.01,236.85,240.16,233.0,38.955,0.00409,61710856,14601164848.0,-2.410383189122371,242.7,5,1
US.AAPL,Apple,2025-01-13 00:00:00,233.53,234.4,234.67,229.72,38.552,0.00329,49630725,11551697087.0,-1.0344099641123026,236.85,6,1
US.AAPL,Apple,2025-01-14 00:00:00,234.75,233.28,236.12,232.472,38.368,0.00261,39435294,9222855148.0,-0.477815699658705,234.4,7,1
US.AAPL,Apple,2025-01-15 00:00:00,234.635,237.87,238.96,234.43,39.123,0.00264,39831969,9463279094.0,1.9675925925925941,233.28,8,1
US.AAPL,Apple,2025-01-16 00:00:00,237.35,228.26,238.01,228.03,37.542,0.00476,71759052,16540210791.0,-4.040021860680209,237.87,9,1
US.AAPL,Apple,2025-01-17 00:00:00,232.115,229.98,232.29,228.48,37.825,0.00454,68488301,15783599164.0,0.753526680101638,228.26,10,1
US.AAPL,Apple,2025-01-21 00:00:00,224.0,222.64,224.42,219.38,36.618,0.0065,98070429,21741787474.0,-3.1915818766849307,229.98,11,1
US.AAPL,Apple,2025-01-22 00:00:00,219.79,223.83,224.12,219.79,36.814,0.00425,64126500,14288799718.0,0.5344951491196668,222.64,12,1
US.AAPL,Apple,2025-01-23 00:00:00,224.74,223.66,227.03,222.3,36.786,0.00399,60234760,13499172651.0,-0.07595049814592142,223.83,13,1
US.AAPL,Apple,2025-01-24 00:00:00,224.78,222.78,225.63,221.41,36.641,0.00362,54697907,12205549757.0,-0.3934543503532127,223.66,14,1
US.AAPL,Apple,2025-01-27 00:00:00,224.02,229.86,232.15,223.98,37.805,0.00629,94863418,21708344003.0,3.178023161863728,222.78,15,1
US.AAPL,Apple,2025-01-28 00:00:00,230.85,238.26,240.19,230.81,39.187,0.00502,75707569,17979371072.0,3.654398329417896,229.86,16,1
US.AAPL,Apple,2025-01-29 00:00:00,234.12,239.36,239.855,234.01,39.368,0.00301,45486100,10802295589.0,0.4616805170821887,238.26,17,1
US.AAPL,Apple,2025-01-30 00:00:00,238.665,237.59,240.79,237.21,39.077,0.00371,55658279,13300108805.0,-0.7394719251336941,239.36,18,1
US.AAPL,Apple,2025-01-31 00:00:00,247.19,236.0,247.19,233.44,38.815,0.00673,101075128,24112126330.0,-0.6692200850204147,237.59,19,1
US.AAPL,Apple,2025-02-03 00:00:00,229.99,228.01,231.83,225.7,37.501,0.00487,73063301,16680638530.0,-3.3855932203389867,236.0,20,2
US.AAPL,Apple,2025-02-04 00:00:00,227.25,232.8,233.13,226.65,38.289,0.003,45067301,10420031363.0,2.1007850532871455,228.01,21,2
US.AAPL,Apple,2025-02-05 00:00:00,228.53,232.47,232.67,228.27,38.235,0.00264,39664989,9155658476.0,-0.141752577319593,232.8,22,2
